day,sales
30/01/2018,1644
31/01/2018,1403
01/02/2018,1478
02/02/2018,1317
03/02/2018,1125
04/02/2018,1378
05/02/2018,1605
06/02/2018,1820
07/02/2018,1652
08/02/2018,1532
09/02/2018,1527
10/02/2018,1402
11/02/2018,1454
12/02/2018,1620
13/02/2018,1467
14/02/2018,1491
15/02/2018,1549
16/02/2018,1403
17/02/2018,1199
18/02/2018,1765
19/02/2018,1676
20/02/2018,1590
21/02/2018,1584
22/02/2018,1647
23/02/2018,1362
24/02/2018,1287
25/02/2018,1463
26/02/2018,1484
27/02/2018,1553
28/02/2018,1637
01/03/2018,1513
02/03/2018,1404
03/03/2018,1387
04/03/2018,1527
05/03/2018,1784
06/03/2018,1631
07/03/2018,1692
08/03/2018,1577
09/03/2018,1442
10/03/2018,1307
11/03/2018,1387
12/03/2018,1586
13/03/2018,1705
14/03/2018,1629
15/03/2018,1756
16/03/2018,1476
17/03/2018,1235
18/03/2018,1572
19/03/2018,1630
20/03/2018,1631
21/03/2018,1593
22/03/2018,1585
23/03/2018,1308
24/03/2018,1190
25/03/2018,1415
26/03/2018,1520
27/03/2018,1450
28/03/2018,1476
29/03/2018,1307
30/03/2018,1226
31/03/2018,1125
01/04/2018,1255
02/04/2018,1400
03/04/2018,1568
04/04/2018,1486
05/04/2018,1484
06/04/2018,1278
07/04/2018,1116
08/04/2018,1365
09/04/2018,1364
10/04/2018,1461
11/04/2018,1440
12/04/2018,1508
13/04/2018,1328
14/04/2018,1297
15/04/2018,1466
16/04/2018,1527
17/04/2018,1521
18/04/2018,1601
19/04/2018,1435
20/04/2018,1289
21/04/2018,1240
22/04/2018,1428
23/04/2018,1537
24/04/2018,1454
25/04/2018,1578
26/04/2018,1394
27/04/2018,1332
28/04/2018,1142
29/04/2018,1285
30/04/2018,1166
01/05/2018,1269
02/05/2018,1263
03/05/2018,1195
04/05/2018,1143
05/05/2018,990
06/05/2018,1206
07/05/2018,1300
08/05/2018,1351
09/05/2018,1335
10/05/2018,1277
11/05/2018,1092
12/05/2018,988
13/05/2018,1248
14/05/2018,1344
15/05/2018,1496
16/05/2018,1266
17/05/2018,1247
18/05/2018,1085
19/05/2018,1045
20/05/2018,1070
21/05/2018,1296
22/05/2018,1357
23/05/2018,1367
24/05/2018,1375
25/05/2018,1087
26/05/2018,1025
